OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662382200000,19731.56,19736.99,19723.05,19727.95,636.29804,1662382499999,53.14,1.81,-3.76,5.57,41.02,50.20
1662382500000,19728.88,19739.66,19722.03,19727.37,699.43781,1662382799999,52.95,2.33,-2.54,4.88,40.54,43.80
1662382800000,19726.45,19738.04,19724.74,19735.46,634.54995,1662383099999,55.30,3.37,-1.36,4.73,52.86,44.81
1662383100000,19734.5,19760.71,19733.47,19751.67,908.66767,1662383399999,59.64,5.43,-0.00,5.43,66.88,53.43
1662383400000,19751.62,19761.65,19742.88,19755.6,692.86109,1662383699999,60.64,7.30,1.46,5.84,81.23,66.99
1662383700000,19755.6,19779.5,19753.48,19762.66,932.65204,1662383999999,62.43,9.24,3.01,6.23,78.03,75.38
1662384000000,19762.4,19795.88,19758.39,19760.14,1024.15852,1662384299999,61.36,10.46,4.50,5.95,68.40,75.89
1662384300000,19760.41,19765.42,19725.64,19725.7,971.22554,1662384599999,48.94,8.54,5.31,3.23,40.18,62.20
1662384600000,19726.44,19750.89,19710.51,19747.5,958.02361,1662384899999,55.13,8.69,5.99,2.70,31.06,46.55
1662384900000,19747.5,19758.23,19727.08,19748.83,919.15757,1662385199999,55.48,8.81,6.55,2.26,29.43,33.56
1662385200000,19748.1,19754.48,19737.62,19748.05,566.91339,1662385499999,55.21,8.74,6.99,1.75,44.06,34.85
1662385500000,19749.11,19766.0,19738.31,19742.41,655.63536,1662385799999,53.15,8.13,7.22,0.92,48.78,40.76
1662385800000,19742.96,19746.06,19725.62,19738.58,552.65777,1662386099999,51.74,7.26,7.22,0.04,50.68,47.84
1662386100000,19738.58,19756.03,19736.69,19744.01,554.18832,1662386399999,53.62,6.93,7.17,-0.24,51.21,50.22
1662386400000,19743.22,19753.16,19725.65,19741.57,654.27991,1662386699999,52.63,6.39,7.01,-0.62,45.21,49.03
1662386700000,19740.69,19773.69,19740.39,19765.9,709.5485,1662386999999,60.47,7.84,7.18,0.67,56.28,50.90
1662387000000,19764.66,19798.78,19762.07,19786.77,1192.40108,1662387299999,65.72,10.56,7.85,2.70,68.96,56.82
